id,player_id,first_name,last_name,position,height_feet,height_inches,height_total_inches,weight_pounds,jersey_number,college,country,draft_year,draft_round,draft_number,team_id
967,242,James,Johnson,F,6.0,7.0,79.0,,,,,,,,12
968,243,Stanley,Johnson,F,6.0,6.0,78.0,,,,,,,,27
969,244,Tyler,Johnson,G,6.0,3.0,75.0,,,,,,,,27
970,245,Wesley,Johnson,F-G,6.0,7.0,79.0,,,,,,,,13
971,246,Nikola,Jokic,C,6.0,11.0,83.0,,,,,,,,8
972,247,Derrick,Jones Jr.,F-G,6.0,6.0,78.0,,,,,,,,13
973,248,Damian,Jones,C,6.0,10.0,82.0,,,,,,,,6
974,249,Tyus,Jones,G,6.0,1.0,73.0,,,,,,,,24
975,250,DeAndre,Jordan,C,6.0,11.0,83.0,,,,,,,,8
976,251,Cory,Joseph,G,6.0,2.0,74.0,,,,,,,,22
977,252,Frank,Kaminsky,F-C,7.0,0.0,84.0,,,,,,,,24
978,253,Enes,Kanter,C,6.0,10.0,82.0,,,,,,,,2
979,254,Luke,Kennard,G,6.0,5.0,77.0,,,,,,,,15
980,255,Michael,Kidd-Gilchrist,F,6.0,6.0,78.0,,,,,,,,4
981,256,George,King,F,6.0,6.0,78.0,,,,,,,,7
982,257,Maxi,Kleber,F,6.0,10.0,82.0,,,,,,,,14
983,258,Brandon,Knight,G,6.0,2.0,74.0,,,,,,,,7
984,259,Kevin,Knox,F,6.0,8.0,80.0,,,,,,,,10
985,260,Furkan,Korkmaz,G-F,6.0,7.0,79.0,,,,,,,,23
986,261,Luke,Kornet,F-C,7.0,1.0,85.0,,,,,,,,2
987,262,Kyle,Korver,G-F,6.0,7.0,79.0,,,,,,,,23
988,263,Kosta,Koufos,C,7.0,0.0,84.0,,,,,,,,26
989,264,Rodions,Kurucs,F,6.0,9.0,81.0,,,,,,,,3
990,265,Kyle,Kuzma,F,6.0,9.0,81.0,,,,,,,,17
991,266,Skal,Labissiere,F,6.0,10.0,82.0,,,,,,,,26
992,267,Jeremy,Lamb,G,6.0,5.0,77.0,,,,,,,,26
993,268,Zach,LaVine,G,6.0,5.0,77.0,,,,,,,,26
994,269,Jake,Layman,F,6.0,8.0,80.0,,,,,,,,2
995,270,TJ,Leaf,F,6.0,10.0,82.0,,,,,,,,12
996,271,Courtney,Lee,G,6.0,5.0,77.0,,,,,,,,15
997,272,Damion,Lee,G,6.0,6.0,78.0,,,,,,,,24
998,273,Alex,Len,C,7.0,0.0,84.0,,,,,,,,14
999,274,Kawhi,Leonard,F,6.0,7.0,79.0,,,,,,,,13
1000,275,Meyers,Leonard,F-C,7.0,0.0,84.0,,,,,,,,17
1001,276,Jon,Leuer,F,6.0,10.0,82.0,,,,,,,,15
1002,277,Caris,LeVert,G,6.0,6.0,78.0,,,,,,,,1
1003,278,Damian,Lillard,G,6.0,2.0,74.0,,,,,,,,17
1004,279,Jeremy,Lin,G,6.0,3.0,75.0,,,,,,,,11
1005,280,Shaun,Livingston,G,6.0,7.0,79.0,,,,,,,,10
1006,281,Zach,Lofton,G,6.0,4.0,76.0,,,,,,,,9
1007,282,Kevon,Looney,F,6.0,9.0,81.0,,,,,,,,10
1008,283,Brook,Lopez,C,7.0,1.0,85.0,,,,,,,,17
1009,284,Robin,Lopez,C,7.0,0.0,84.0,,,,,,,,17
1010,285,Kevin,Love,F-C,6.0,8.0,80.0,,,,,,,,16
1011,286,Kyle,Lowry,G,6.0,0.0,72.0,,,,,,,,23
1012,287,Jordan,Loyd,G,6.0,4.0,76.0,,,,,,,,28
1013,288,Timothe,Luwawu-Cabarrot,G-F,6.0,7.0,79.0,,,,,,,,24
1014,289,Tyler,Lydon,F,6.0,10.0,82.0,,,,,,,,8
1015,290,Trey,Lyles,F,6.0,9.0,81.0,,,,,,,,26
1016,291,Shelvin,Mack,G,6.0,3.0,75.0,,,,,,,,1
1017,292,Daryl,Macon,G,6.0,3.0,75.0,,,,,,,,7
1018,293,J.P.,Macura,G,6.0,5.0,77.0,,,,,,,,4
1019,294,Ian,Mahinmi,C,6.0,11.0,83.0,,,,,,,,12
1020,295,Thon,Maker,F,7.0,0.0,84.0,,,,,,,,17
1021,296,Boban,Marjanovic,C,7.0,4.0,88.0,,,,,,,,11
1022,297,Lauri,Markkanen,F,7.0,0.0,84.0,,,,,,,,29
1023,298,Jarell,Martin,F,6.0,10.0,82.0,,,,,,,,15
1024,299,Frank,Mason,G,5.0,11.0,71.0,,,,,,,,26
1025,300,Yante,Maten,F,6.0,8.0,80.0,,,,,,,,16
1026,301,Wesley,Matthews,G-F,6.0,5.0,77.0,,,,,,,,1
1027,302,Luc,Mbah a Moute,F,6.0,8.0,80.0,,,,,,,,17
1028,303,CJ,McCollum,G,6.0,3.0,75.0,,,,,,,,19
1029,304,T.J.,McConnell,G,6.0,1.0,73.0,,,,,,,,12
1030,305,Doug,McDermott,F,6.0,6.0,78.0,,,,,,,,26
1031,306,JaVale,McGee,C,7.0,0.0,84.0,,,,,,,,26
1032,307,Rodney,McGruder,F-G,6.0,4.0,76.0,,,,,,,,10
1033,308,Alfonzo,McKinnie,F,6.0,7.0,79.0,,,,,,,,5
1034,309,Ben,McLemore,G,6.0,3.0,75.0,,,,,,,,25
1035,310,Jordan,McRae,G,6.0,5.0,77.0,,,,,,,,30
1036,311,Jodie,Meeks,G,6.0,4.0,76.0,,,,,,,,23
1037,312,Salah,Mejri,C,7.0,2.0,86.0,,,,,,,,7
1038,313,De'Anthony,Melton,G,6.0,3.0,75.0,,,,,,,,3
1039,314,Chimezie,Metu,F,6.0,10.0,82.0,,,,,,,,9
1040,315,Khris,Middleton,F,6.0,7.0,79.0,,,,,,,,30
1041,316,CJ,Miles,F-G,6.0,6.0,78.0,,,,,,,,2
1042,317,Darius,Miller,F,6.0,6.0,78.0,,,,,,,,19
1043,318,Paul,Millsap,F,6.0,7.0,79.0,,,,,,,,23
1044,319,Patty,Mills,G,6.0,2.0,74.0,,,,,,,,13
1045,320,Shake,Milton,G,6.0,5.0,77.0,,,,,,,,14
1046,321,Nikola,Mirotic,F,6.0,10.0,82.0,,,,,,,,5
1047,322,Donovan,Mitchell,G,6.0,3.0,75.0,,,,,,,,6
1048,323,Naz,Mitrou-Long,G,6.0,3.0,75.0,,,,,,,,29
1049,324,Malik,Monk,G,6.0,3.0,75.0,,,,,,,,26
1050,325,Greg,Monroe,C,6.0,10.0,82.0,,,,,,,,18
1051,326,E'Twaun,Moore,G,6.0,3.0,75.0,,,,,,,,22
1052,327,Jaylen,Morris,G,6.0,5.0,77.0,,,,,,,,27
1053,328,Marcus,Morris,F,6.0,8.0,80.0,,,,,,,,6
1054,329,Markieff,Morris,F,6.0,9.0,81.0,,,,,,,,14
1055,330,Monte,Morris,G,6.0,2.0,74.0,,,,,,,,24
1056,331,Johnathan,Motley,F,6.0,8.0,80.0,,,,,,,,13
1057,332,Timofey,Mozgov,C,7.0,1.0,85.0,,,,,,,,8
1058,333,Emmanuel,Mudiay,G,6.0,3.0,75.0,,,,,,,,26
1059,334,Dejounte,Murray,G,6.0,4.0,76.0,,,,,,,,19
1060,335,Jamal,Murray,G,6.0,4.0,76.0,,,,,,,,8
1061,336,Dzanan,Musa,G-F,6.0,9.0,81.0,,,,,,,,3
1062,337,Mike,Muscala,F-C,6.0,10.0,82.0,,,,,,,,21
