team_id,team_name,season,games_played,wins,points_scored_total,points_allowed_total,point_diff_total,point_diff_avg,home_games,home_wins,losses,win_pct,points_per_game,points_allowed_per_game,away_games,away_wins,home_win_pct,away_win_pct
16,Miami Heat,2023-2024,34,20,3828,3789,39,1.1470588235294117,15,10,14,0.5882352941176471,112.58823529411765,111.44117647058823,19,10,0.6666666666666666,0.5263157894736842
16,Miami Heat,2024-2025,74,30,7888,7974,-86,-1.162162162162162,37,17,44,0.40540540540540543,106.5945945945946,107.75675675675676,37,13,0.4594594594594595,0.35135135135135137
17,Milwaukee Bucks,2020-2021,91,58,10658,10186,472,5.186813186813187,45,33,33,0.6373626373626373,117.12087912087912,111.93406593406593,46,25,0.7333333333333333,0.5434782608695652
17,Milwaukee Bucks,2021-2022,87,52,9900,9627,273,3.1379310344827585,43,26,35,0.5977011494252874,113.79310344827586,110.65517241379311,44,26,0.6046511627906976,0.5909090909090909
17,Milwaukee Bucks,2022-2023,83,55,9697,9461,236,2.8433734939759034,42,31,28,0.6626506024096386,116.83132530120481,113.98795180722891,41,24,0.7380952380952381,0.5853658536585366
17,Milwaukee Bucks,2023-2024,37,25,4595,4413,182,4.918918918918919,21,17,12,0.6756756756756757,124.1891891891892,119.27027027027027,16,8,0.8095238095238095,0.5
17,Milwaukee Bucks,2024-2025,77,46,8747,8536,211,2.74025974025974,37,26,31,0.5974025974025974,113.59740259740259,110.85714285714286,40,20,0.7027027027027027,0.5
18,Minnesota Timberwolves,2020-2021,68,22,7643,8008,-365,-5.367647058823529,32,12,46,0.3235294117647059,112.3970588235294,117.76470588235294,36,10,0.375,0.2777777777777778
18,Minnesota Timberwolves,2021-2022,84,46,9734,9546,188,2.238095238095238,42,26,38,0.5476190476190477,115.88095238095238,113.64285714285714,42,20,0.6190476190476191,0.47619047619047616
18,Minnesota Timberwolves,2022-2023,85,42,9802,9832,-30,-0.35294117647058826,42,23,43,0.49411764705882355,115.31764705882352,115.67058823529412,43,19,0.5476190476190477,0.4418604651162791
18,Minnesota Timberwolves,2023-2024,34,25,3861,3629,232,6.823529411764706,16,14,9,0.7352941176470589,113.55882352941177,106.73529411764706,18,11,0.875,0.6111111111111112
18,Minnesota Timberwolves,2024-2025,78,45,8789,8432,357,4.576923076923077,38,22,33,0.5769230769230769,112.67948717948718,108.1025641025641,40,23,0.5789473684210527,0.575
19,New Orleans Pelicans,2020-2021,68,30,7757,7774,-17,-0.25,36,18,38,0.4411764705882353,114.07352941176471,114.32352941176471,32,12,0.5,0.375
19,New Orleans Pelicans,2021-2022,85,36,9320,9399,-79,-0.9294117647058824,43,19,49,0.4235294117647059,109.6470588235294,110.5764705882353,42,17,0.4418604651162791,0.40476190476190477
19,New Orleans Pelicans,2022-2023,80,40,9148,8996,152,1.9,40,25,40,0.5,114.35,112.45,40,15,0.625,0.375
19,New Orleans Pelicans,2023-2024,37,22,4304,4128,176,4.756756756756757,19,11,15,0.5945945945945946,116.32432432432432,111.56756756756756,18,11,0.5789473684210527,0.6111111111111112
19,New Orleans Pelicans,2024-2025,74,19,8033,8690,-657,-8.878378378378379,38,13,55,0.25675675675675674,108.55405405405405,117.43243243243244,36,6,0.34210526315789475,0.16666666666666666
20,New York Knicks,2020-2021,70,37,7446,7336,110,1.5714285714285714,37,24,33,0.5285714285714286,106.37142857142857,104.8,33,13,0.6486486486486487,0.3939393939393939
20,New York Knicks,2021-2022,77,35,8171,8168,3,0.03896103896103896,41,17,42,0.45454545454545453,106.11688311688312,106.07792207792208,36,18,0.4146341463414634,0.5
20,New York Knicks,2022-2023,86,48,9798,9615,183,2.127906976744186,41,23,38,0.5581395348837209,113.93023255813954,111.80232558139535,45,25,0.5609756097560976,0.5555555555555556
20,New York Knicks,2023-2024,35,20,4029,3911,118,3.3714285714285714,13,9,15,0.5714285714285714,115.11428571428571,111.74285714285715,22,11,0.6923076923076923,0.5
20,New York Knicks,2024-2025,71,45,8131,7809,322,4.535211267605634,36,24,26,0.6338028169014085,114.52112676056338,109.98591549295774,35,21,0.6666666666666666,0.6
21,Oklahoma City Thunder,2020-2021,70,21,7362,8131,-769,-10.985714285714286,34,9,49,0.3,105.17142857142858,116.15714285714286,36,12,0.2647058823529412,0.3333333333333333
21,Oklahoma City Thunder,2021-2022,74,24,7708,8273,-565,-7.635135135135135,38,12,50,0.32432432432432434,104.16216216216216,111.79729729729729,36,12,0.3157894736842105,0.3333333333333333
21,Oklahoma City Thunder,2022-2023,76,34,8886,8896,-10,-0.13157894736842105,35,19,42,0.4473684210526316,116.92105263157895,117.05263157894737,41,15,0.5428571428571428,0.36585365853658536
21,Oklahoma City Thunder,2023-2024,35,24,4298,4005,293,8.371428571428572,18,13,11,0.6857142857142857,122.8,114.42857142857143,17,11,0.7222222222222222,0.6470588235294118
21,Oklahoma City Thunder,2024-2025,73,58,8579,7715,864,11.835616438356164,39,33,15,0.7945205479452054,117.52054794520548,105.68493150684931,34,25,0.8461538461538461,0.7352941176470589
22,Orlando Magic,2020-2021,68,20,7059,7700,-641,-9.426470588235293,35,10,48,0.29411764705882354,103.80882352941177,113.23529411764706,33,10,0.2857142857142857,0.30303030303030304
