game_id,date,datetime,season,status,period,time,postseason,home_team_score,visitor_team_score,home_team_id,home_team_conference,home_team_name,visitor_team_id,visitor_team_conference,visitor_team_name,point_diff,total_points,home_team_won,day_of_week,month,year,hour
857918,2023-01-04,,2022-2023,Final,4,Final,False,121,112,5,East,Chicago Bulls,3,East,Brooklyn Nets,9,233,1,Wednesday,January,2023,
857933,2023-01-05,,2022-2023,Final,4,Final,False,114,131,11,West,Houston Rockets,29,West,Utah Jazz,-17,245,0,Thursday,January,2023,
857938,2023-01-06,,2022-2023,Final,4,Final,False,128,115,18,West,Minnesota Timberwolves,13,West,LA Clippers,13,243,1,Friday,January,2023,
857957,2023-01-08,,2022-2023,Final,4,Final,False,98,112,24,West,Phoenix Suns,6,East,Cleveland Cavaliers,-14,210,0,Sunday,January,2023,
857959,2023-01-09,,2022-2023,Final,4,Final,False,121,113,15,West,Memphis Grizzlies,27,West,San Antonio Spurs,8,234,1,Monday,January,2023,
857966,2023-01-10,,2022-2023,Final,4,Final,False,147,116,23,East,Philadelphia 76ers,9,East,Detroit Pistons,31,263,1,Tuesday,January,2023,
857975,2023-01-11,,2022-2023,Final,4,Final,False,125,114,2,East,Boston Celtics,19,West,New Orleans Pelicans,11,239,1,Wednesday,January,2023,
857984,2023-01-12,,2022-2023,Final,4,Final,False,98,109,3,East,Brooklyn Nets,2,East,Boston Celtics,-11,207,0,Thursday,January,2023,
857989,2023-01-13,,2022-2023,Final,4,Final,False,110,116,9,East,Detroit Pistons,19,West,New Orleans Pelicans,-6,226,0,Friday,January,2023,
857999,2023-01-14,,2022-2023,Final,4,Final,False,136,119,25,West,Portland Trail Blazers,7,West,Dallas Mavericks,17,255,1,Saturday,January,2023,
858006,2023-01-15,,2022-2023,Final,4,Final,False,119,132,27,West,San Antonio Spurs,26,West,Sacramento Kings,-13,251,0,Sunday,January,2023,
858015,2023-01-16,,2022-2023,Final,4,Final,False,136,106,15,West,Memphis Grizzlies,24,West,Phoenix Suns,30,242,1,Monday,January,2023,
858029,2023-01-18,,2022-2023,Final,4,Final,False,105,116,20,East,New York Knicks,30,East,Washington Wizards,-11,221,0,Wednesday,January,2023,
858039,2023-01-20,,2022-2023,Final,4,Final,False,123,110,22,East,Orlando Magic,19,West,New Orleans Pelicans,13,233,1,Friday,January,2023,
858052,2023-01-21,,2022-2023,Final,4,Final,False,118,122,1,East,Atlanta Hawks,4,East,Charlotte Hornets,-4,240,0,Saturday,January,2023,
858050,2023-01-21,,2022-2023,Final,4,Final,False,127,129,26,West,Sacramento Kings,23,East,Philadelphia 76ers,-2,256,0,Saturday,January,2023,
858054,2023-01-22,,2022-2023,Final,4,Final,False,99,101,8,West,Denver Nuggets,21,West,Oklahoma City Thunder,-2,200,0,Sunday,January,2023,
858067,2023-01-24,,2022-2023,Final,4,Final,False,105,103,20,East,New York Knicks,6,East,Cleveland Cavaliers,2,208,1,Tuesday,January,2023,
858081,2023-01-25,,2022-2023,Final,4,Final,False,107,99,17,East,Milwaukee Bucks,8,West,Denver Nuggets,8,206,1,Wednesday,January,2023,
858088,2023-01-26,,2022-2023,Final,4,Final,False,95,99,24,West,Phoenix Suns,7,West,Dallas Mavericks,-4,194,0,Thursday,January,2023,
858105,2023-01-28,,2022-2023,Final,4,Final,False,105,123,25,West,Portland Trail Blazers,28,East,Toronto Raptors,-18,228,0,Saturday,January,2023,
858096,2023-01-28,,2022-2023,Final,5,Final,False,125,121,2,East,Boston Celtics,14,West,Los Angeles Lakers,4,246,1,Saturday,January,2023,
858117,2023-01-30,,2022-2023,Final,5,Final,False,111,118,18,West,Minnesota Timberwolves,26,West,Sacramento Kings,-7,229,0,Monday,January,2023,
858128,2023-02-01,,2022-2023,Final,4,Final,False,139,96,2,East,Boston Celtics,3,East,Brooklyn Nets,43,235,1,Wednesday,February,2023,
858136,2023-02-02,,2022-2023,Final,4,Final,False,128,113,6,East,Cleveland Cavaliers,15,West,Memphis Grizzlies,15,241,1,Thursday,February,2023,
858133,2023-02-02,,2022-2023,Final,4,Final,False,134,117,8,West,Denver Nuggets,10,West,Golden State Warriors,17,251,1,Thursday,February,2023,
858151,2023-02-04,,2022-2023,Final,4,Final,False,100,116,9,East,Detroit Pistons,24,West,Phoenix Suns,-16,216,0,Saturday,February,2023,
858149,2023-02-04,,2022-2023,Final,4,Final,False,125,123,3,East,Brooklyn Nets,30,East,Washington Wizards,2,248,1,Saturday,February,2023,
858165,2023-02-06,,2022-2023,Final,4,Final,False,99,111,9,East,Detroit Pistons,2,East,Boston Celtics,-12,210,0,Monday,February,2023,
858175,2023-02-07,,2022-2023,Final,4,Final,False,98,102,22,East,Orlando Magic,20,East,New York Knicks,-4,200,0,Tuesday,February,2023,
858186,2023-02-09,,2022-2023,Final,4,Final,False,116,105,3,East,Brooklyn Nets,5,East,Chicago Bulls,11,221,1,Thursday,February,2023,
858189,2023-02-10,,2022-2023,Final,4,Final,False,97,95,16,East,Miami Heat,11,West,Houston Rockets,2,192,1,Friday,February,2023,
858206,2023-02-11,,2022-2023,Final,4,Final,False,105,119,4,East,Charlotte Hornets,8,West,Denver Nuggets,-14,224,0,Saturday,February,2023,
