player_id,first_name,last_name,position,height_feet,height_inches,height_total_inches,weight_pounds,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_name,team_conference,team_division,full_name,position_standard
475,Andrew,Wiggins,F-G,6.0,7.0,79.0,,,,,,,,16,MIA,Miami Heat,East,Southeast,Andrew Wiggins,G-F
476,Robert,Williams III,C-F,6.0,9.0,81.0,,,,,,,,25,POR,Portland Trail Blazers,West,Northwest,Robert Williams III,F-C
477,Alan,Williams,F-C,6.0,8.0,80.0,,,,,,,,24,PHX,Phoenix Suns,West,Pacific,Alan Williams,F-C
478,C.J.,Williams,G,6.0,5.0,77.0,,,,,,,,13,LAC,LA Clippers,West,Pacific,C.J. Williams,G
479,Johnathan,Williams,F,6.0,9.0,81.0,,,,,,,,14,LAL,Los Angeles Lakers,West,Pacific,Johnathan Williams,F
480,Kenrich,Williams,G-F,6.0,6.0,78.0,,,,,,,,21,OKC,Oklahoma City Thunder,West,Northwest,Kenrich Williams,G-F
481,Lou,Williams,G,6.0,2.0,74.0,,,,,,,,1,ATL,Atlanta Hawks,East,Southeast,Lou Williams,G
482,Marvin,Williams,F,6.0,8.0,80.0,,,,,,,,1,ATL,Atlanta Hawks,East,Southeast,Marvin Williams,F
483,Troy,Williams,F,6.0,7.0,79.0,,,,,,,,15,MEM,Memphis Grizzlies,West,Southwest,Troy Williams,F
484,D.J.,Wilson,F,6.0,10.0,82.0,,,,,,,,23,PHI,Philadelphia 76ers,East,Atlantic,D.J. Wilson,F
485,Justise,Winslow,F,6.0,6.0,78.0,,,,,,,,25,POR,Portland Trail Blazers,West,Northwest,Justise Winslow,F
486,Christian,Wood,F,6.0,8.0,80.0,,,,,,,,14,LAL,Los Angeles Lakers,West,Pacific,Christian Wood,F
487,Delon,Wright,G,6.0,5.0,77.0,,,,,,,,20,NYK,New York Knicks,East,Atlantic,Delon Wright,G
488,Guerschon,Yabusele,F,6.0,8.0,80.0,,,,,,,,23,PHI,Philadelphia 76ers,East,Atlantic,Guerschon Yabusele,F
489,Thaddeus,Young,F,6.0,8.0,80.0,,,,,,,,24,PHX,Phoenix Suns,West,Pacific,Thaddeus Young,F
490,Trae,Young,G,6.0,1.0,73.0,,,,,,,,1,ATL,Atlanta Hawks,East,Southeast,Trae Young,G
491,Cody,Zeller,C,6.0,11.0,83.0,,,,,,,,19,NOP,New Orleans Pelicans,West,Southwest,Cody Zeller,C
492,Ante,Zizic,C,6.0,10.0,82.0,,,,,,,,6,CLE,Cleveland Cavaliers,East,Central,Ante Zizic,C
493,Ivica,Zubac,C,7.0,0.0,84.0,,,,,,,,13,LAC,LA Clippers,West,Pacific,Ivica Zubac,C
494,Michael,Smith,,6.0,10.0,82.0,,,,,,,,2,BOS,Boston Celtics,East,Atlantic,Michael Smith,
495,John,Morton,,6.0,3.0,75.0,,,,,,,,6,CLE,Cleveland Cavaliers,East,Central,John Morton,
496,Howard,Wright,,6.0,8.0,80.0,,,,,,,,22,ORL,Orlando Magic,East,Southeast,Howard Wright,
497,Michael,Ansley,,6.0,7.0,79.0,,,,,,,,22,ORL,Orlando Magic,East,Southeast,Michael Ansley,
498,John,Salley,,6.0,11.0,83.0,,,,,,,,9,DET,Detroit Pistons,East,Central,John Salley,
499,Dan,Schayes,,6.0,11.0,83.0,,,,,,,,8,DEN,Denver Nuggets,West,Northwest,Dan Schayes,
500,Mark,Eaton,,7.0,4.0,88.0,,,,,,,,29,UTA,Utah Jazz,West,Northwest,Mark Eaton,
